outcome,specification,estimate,estimate_bc,se_conv,se_robust,ci_lower,ci_upper,bandwidth,N_eff,N_left,N_right,method
TIENE_BILLETERA,baseline,-0.005594084259775811,-0.0013228653729152468,0.014014678521878715,0.016492863439122752,-0.03364828371553325,0.031002552969702758,14.238774948439918,27809,17047,10762,rdrobust
USA_BILLETERA,baseline,0.006611809466181742,0.0015114424683486116,0.016111633028845444,0.01800833704002525,-0.03378424955155952,0.036807134488256746,17.28672285236905,33267,21373,11894,rdrobust
TIENE_BILLETERA,with_covariates,-0.02701348277349865,-0.02701348277349865,0.00525110026069851,0.00525110026069851,-0.03730545016367662,-0.01672151538332068,34.22060685687081,59649,45561,14088,statsmodels_WLS
USA_BILLETERA,with_covariates,0.007203955063185205,0.007203955063185205,0.00469141016057705,0.00469141016057705,-0.001991039888251084,0.016398950014621494,34.22060685687081,59649,45561,14088,statsmodels_WLS
TIENE_BILLETERA,extended_covariates,-0.025740078489869395,-0.025740078489869395,0.005392915130306805,0.005392915130306805,-0.036309997916951865,-0.015170159062786924,33.45673432623227,57039,43246,13793,statsmodels_WLS
USA_BILLETERA,extended_covariates,0.00841071779978048,0.00841071779978048,0.004814888099922986,0.004814888099922986,-0.0010262894656590665,0.017847725065220026,33.45673432623227,57039,43246,13793,statsmodels_WLS
TIENE_BILLETERA,het_POBREZA_low,-0.005594084259775811,-0.0013228653729152468,0.014014678521878715,0.016492863439122752,-0.03364828371553325,0.031002552969702758,14.238774948439918,27809,17047,10762,rdrobust
TIENE_BILLETERA,het_INTERNET_HOGAR_low,0.003532716881404628,0.007553544759983259,0.011966201855169776,0.014074287428569922,-0.020031551708078636,0.03513864122804515,16.531792319095214,16580,9987,6593,rdrobust
TIENE_BILLETERA,het_INTERNET_HOGAR_high,-0.021040240291629847,-0.019838199556926922,0.02272462867145743,0.027636153979417107,-0.07400406602778775,0.0343276669139339,15.02351041423075,14045,9245,4800,rdrobust
TIENE_BILLETERA,het_SMARTPHONE_low,-0.005594084259775811,-0.0013228653729152468,0.014014678521878715,0.016492863439122752,-0.03364828371553325,0.031002552969702758,14.238774948439918,27809,17047,10762,rdrobust
USA_BILLETERA,het_POBREZA_low,0.006611809466181742,0.0015114424683486116,0.016111633028845444,0.01800833704002525,-0.03378424955155952,0.036807134488256746,17.28672285236905,33267,21373,11894,rdrobust
USA_BILLETERA,het_INTERNET_HOGAR_low,0.006957557873959842,0.003020813337373392,0.007876625798965307,0.00865070690063556,-0.013934260628684423,0.01997588730343121,14.139780734128195,14665,8561,6104,rdrobust
USA_BILLETERA,het_INTERNET_HOGAR_high,0.0010426098616935775,-0.0068021697591513774,0.020019000484948382,0.022417704064983137,-0.050740062342595496,0.03713572282429274,15.52651709039554,14045,9245,4800,rdrobust
USA_BILLETERA,het_SMARTPHONE_low,0.006611809466181742,0.0015114424683486116,0.016111633028845444,0.01800833704002525,-0.03378424955155952,0.036807134488256746,17.28672285236905,33267,21373,11894,rdrobust
