CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
10651,84,11,1,1.0,45.0,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,2,2.0,42.0,115.81494140625,6.0,0,1,1.0,1.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,3,2.0,23.0,115.81494140625,10.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,4,2.0,21.0,115.81494140625,9.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,98,11,1,2.0,37.0,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
10651,98,11,2,2.0,18.0,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
10651,98,11,3,2.0,12.0,115.81494140625,4.0,0,0,,,,0,0,,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
11380,97,11,1,1.0,62.0,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,2,2.0,50.0,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,0.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,3,2.0,25.0,130.694778442383,10.0,0,1,1.0,0.0,1.0,1,0,1.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,4,1.0,18.0,130.694778442383,6.0,0,0,1.0,1.0,1.0,0,0,0.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,98,11,1,1.0,56.0,130.694778442383,4.0,1,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,2,2.0,23.0,130.694778442383,6.0,0,0,1.0,1.0,1.0,0,0,0.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,3,1.0,35.0,130.694778442383,5.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,4,1.0,7.0,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,99,11,1,1.0,60.0,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,99,11,2,2.0,75.0,130.694778442383,4.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,99,11,3,1.0,12.0,130.694778442383,4.0,0,0,,,,0,0,,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,102,11,1,1.0,48.0,130.694778442383,3.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,2,2.0,47.0,130.694778442383,1.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,3,2.0,15.0,130.694778442383,5.0,0,0,0.0,0.0,0.0,0,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,4,1.0,12.0,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,5,2.0,6.0,130.694778442383,2.0,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,6,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,7,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,8,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,147,11,1,2.0,58.0,130.694778442383,3.0,0,0,1.0,1.0,1.0,0,1,1.0,221003,7,7,1,1,3731.07983398438,9322.5458984375,1,3,3731.07983398438,22
11380,150,11,1,1.0,27.0,130.694778442383,5.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,150,11,2,2.0,25.0,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,150,11,3,2.0,7.0,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,173,11,1,1.0,71.0,130.694778442383,3.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,11897.68359375,15997.3935546875,1,3,11897.68359375,22
11380,175,11,1,1.0,56.0,130.694778442383,4.0,1,0,1.0,1.0,1.0,0,1,1.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
